PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
"James Harden","HOU",29,76,50,26,36.9,36.2,10.8,24.6,44.0,4.8,13.3,36.5,9.7,11.0,87.9,0.9,5.6,6.5,7.6,5.0,2.0,0.8,3.1,58.7,32,7,4.2

"Paul George","OKC",28,75,44,31,36.8,28.1,9.2,20.9,44.0,3.8,9.7,38.9,5.9,7.0,83.7,1.4,6.8,8.2,4.1,2.7,2.2,0.5,2.7,49.2,24,1,6.3

"Giannis Antetokounmpo","MIL",24,71,55,16,32.9,27.7,10.0,17.4,57.7,0.7,2.8,25.3,6.9,9.5,73.0,2.2,10.3,12.5,5.9,3.8,1.3,1.5,3.3,56.2,54,5,9.0

"Joel Embiid","PHI",25,63,42,21,33.8,27.6,9.1,18.8,48.3,1.3,4.1,30.4,8.3,10.2,80.9,2.5,11.1,13.7,3.6,3.6,0.7,1.9,3.3,53.8,57,2,5.7

"Stephen Curry","GSW",31,67,50,17,34.2,27.6,9.2,19.6,47.0,5.2,11.9,43.9,3.9,4.3,91.6,0.7,4.7,5.4,5.3,2.8,1.4,0.4,2.4,44.4,3,0,9.7

"LeBron James","LAL",34,55,28,27,35.2,27.4,10.1,19.9,51.0,2.0,5.9,33.9,5.1,7.6,66.5,1.0,7.4,8.5,8.3,3.6,1.3,0.6,1.7,52.0,32,8,2.1

"Kawhi Leonard","TOR",27,58,39,19,34.1,26.8,9.4,18.9,49.7,1.8,4.9,36.6,6.2,7.2,85.7,1.3,6.1,7.4,3.3,2.1,1.8,0.4,1.5,45.2,14,0,5.8

"Devin Booker","PHX",22,64,15,49,35.0,26.6,9.2,19.6,46.7,2.1,6.5,32.6,6.1,7.1,86.6,0.6,3.5,4.1,6.8,4.1,0.9,0.2,3.1,40.8,12,0,-5.2

"Kevin Durant","GSW",30,76,53,23,34.9,26.2,9.3,18.0,51.8,1.8,5.1,35.4,5.8,6.5,88.5,0.4,6.1,6.5,5.8,2.9,0.7,1.1,2.0,45.3,16,2,8.5

"Anthony Davis","NOP",26,56,25,31,33.0,25.9,9.5,18.3,51.7,0.9,2.6,33.1,6.1,7.7,79.4,3.1,8.9,12.0,3.9,2.0,1.6,2.4,2.4,56.1,37,0,2.4

"Bradley Beal","WAS",25,80,32,48,37.3,25.9,9.4,19.8,47.6,2.6,7.3,35.0,4.5,5.6,80.7,1.1,4.0,5.0,5.5,2.8,1.5,0.7,2.8,44.0,11,2,-1.5

"Damian Lillard","POR",28,78,49,29,35.4,25.9,8.5,19.2,44.5,2.9,8.0,36.8,5.8,6.4,91.0,0.8,3.8,4.6,6.9,2.7,1.1,0.4,1.9,43.6,13,0,6.2

"Kemba Walker","CHA",28,79,37,42,34.9,25.4,8.8,20.4,43.1,3.2,8.9,35.5,4.6,5.5,84.3,0.6,3.8,4.4,5.9,2.6,1.3,0.4,1.6,41.9,10,0,0.1

"Blake Griffin","DET",30,73,38,35,35.2,24.9,8.4,18.1,46.4,2.5,7.0,36.5,5.6,7.5,75.2,1.4,6.3,7.7,5.4,3.4,0.7,0.4,2.7,42.1,21,2,0.7

"Karl-Anthony Towns","MIN",23,76,34,42,33.0,24.3,8.8,17.1,51.7,1.9,4.7,40.1,4.8,5.7,83.3,3.4,9.0,12.5,3.4,3.1,0.9,1.6,3.8,48.7,54,0,0.7

"Kyrie Irving","BOS",27,66,37,29,33.0,23.8,9.0,18.5,48.7,2.6,6.5,39.7,3.2,3.7,87.3,1.1,3.9,5.0,6.9,2.6,1.5,0.5,2.5,43.8,21,1,5.1

"Zach LaVine","CHI",24,63,16,47,34.5,23.7,8.4,18.0,46.7,1.9,5.1,37.4,5.0,6.0,83.2,0.6,4.0,4.7,4.5,3.4,1.0,0.4,2.2,36.7,2,0,-4.8

"Donovan Mitchell","UTA",22,75,48,27,33.7,23.5,8.6,19.8,43.2,2.4,6.7,35.9,4.0,5.0,80.4,0.8,3.3,4.1,4.2,2.8,1.4,0.4,2.7,37.2,1,0,4.6

"Russell Westbrook","OKC",30,70,41,29,36.0,22.9,8.6,20.3,42.5,1.6,5.6,28.6,4.1,6.3,65.6,1.5,9.5,11.1,10.6,4.5,2.0,0.5,3.4,55.0,54,31,4.1

"Klay Thompson","GSW",29,76,54,22,34.3,21.7,8.4,18.1,46.6,3.1,7.8,40.1,1.7,2.1,81.6,0.5,3.4,3.9,2.4,1.5,1.1,0.6,2.1,33.6,0,0,4.6

"Julius Randle","NOP",24,73,31,42,30.6,21.4,7.8,14.9,52.4,0.9,2.7,34.4,4.9,6.7,73.1,2.2,6.5,8.7,3.1,2.8,0.7,0.6,3.4,37.7,31,1,-0.2

"DeMar DeRozan","SAS",29,75,42,33,35.0,21.4,8.3,17.2,48.1,0.1,0.6,15.9,4.7,5.7,82.9,0.7,5.3,6.1,6.2,2.6,1.1,0.5,2.3,40.0,12,1,-0.4

"CJ McCollum","POR",27,68,41,27,34.1,21.3,8.3,17.9,46.3,2.4,6.4,38.0,2.3,2.8,83.1,0.9,3.2,4.0,2.9,1.5,0.8,0.4,2.4,32.6,1,1,4.8

